gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000006652.15,IFRD1,-2.855029617713191,4.361219595226744,-13.634408322744816,2.3543623654317678e-14,4.044088235102148e-10,22.326247416228433
ENSG00000113739.11,STC2,-2.078347072576459,5.298645808763061,-12.531443314866038,1.9734417649962227e-13,1.6948904598670058e-9,20.526749660664095
ENSG00000175197.13,DDIT3,-2.466705928482929,2.3729932306820913,-11.928610378394113,6.791938966482895e-13,3.2854975501214085e-9,18.81948104886645
ENSG00000065911.13,MTHFD2,-1.6356183498191823,7.917320551942376,-11.802269980659808,8.846861066598335e-13,3.2854975501214085e-9,19.14776407730119
ENSG00000128965.13,CHAC1,-2.5728601160008218,1.9315064268068796,-11.765202118125217,9.563653577811633e-13,3.2854975501214085e-9,18.600398461446396
ENSG00000163472.19,TMEM79,-1.865169265236767,2.413955681649457,-11.098393728584933,3.9941987472589256e-12,1.1434725313611094e-8,17.05715729607606
ENSG00000128165.9,ADM2,-3.0669523327495694,0.26451215190206284,-10.593987849755266,1.2210539766391045e-11,2.996292022389985e-8,14.938058243699391
ENSG00000096717.12,SIRT1,-1.0099871468299624,5.857222087961434,-10.523853459511104,1.4299140178838802e-11,3.0702041356489263e-8,16.435334658132298
ENSG00000164284.15,GRPEL2,-1.452740522255677,4.868141431765789,-10.11527966774334,3.632531951580824e-11,6.932889036922646e-8,15.505644199512563
ENSG00000175793.12,SFN,1.4262874792208695,6.788698790049142,9.527825472481213,1.4414402934099042e-10,2.4759619919901923e-7,14.197011697599455
ENSG00000100664.11,EIF5,-1.163355741461212,8.683717915849543,-9.108276162918912,3.965609915825822e-10,6.192480138558195e-7,13.208602383524758
ENSG00000013588.10,GPRC5A,0.9520126216481156,8.713604355582124,9.006094947874374,5.091868745920375e-10,7.288585787389524e-7,12.963732171554176
ENSG00000125863.20,MKKS,-1.011088490207462,5.922591067505882,-8.91087949800311,6.435474194988798e-10,8.503241557486353e-7,12.73635515282778
ENSG00000153879.9,CEBPG,-1.2102124256059865,6.862561226428829,-8.717704564827457,1.0387438875011643e-9,1.2744645539719643e-6,12.265224743278537
ENSG00000003989.18,SLC7A2,-1.2447525024335726,4.612232033482316,-8.518651541056439,1.7099556891654453e-9,1.958127258186324e-6,11.783868157080084
ENSG00000127337.7,YEATS4,-0.9521079199443983,4.59812135519394,-8.476918524715892,1.899571063646883e-9,2.039308260016407e-6,11.672633344677205
ENSG00000157514.18,TSC22D3,-1.4580593423932398,3.727446087604286,-8.437250121400172,2.0997036048675373e-9,2.121565224753511e-6,11.576130369092931
ENSG00000141682.12,PMAIP1,-1.627608533195602,3.799503707641014,-8.378893037120207,2.4339778629737713e-9,2.322690986238915e-6,11.427162903329199
ENSG00000251022.6,THAP9-AS1,-1.3969097023902064,3.3030742632077725,-8.301178965877366,2.965198303151191e-9,2.5556168239335217e-6,11.181394652744343
ENSG00000171492.14,LRRC8D,-0.856068804457298,6.3483326723061175,-8.299799737079129,2.9756265051330516e-9,2.5556168239335217e-6,11.234088595838365
ENSG00000146842.17,TMEM209,-1.1237666360966703,5.04201092777006,-8.26639329003318,3.239964513504115e-9,2.6501366880219135e-6,11.161757020115083
ENSG00000173744.18,AGFG1,-0.737293812942346,7.6791833785104275,-8.202602293749958,3.813234464397996e-9,2.9772694724983807e-6,10.986860536109102
ENSG00000128915.12,ICE2,-0.9614189238060769,6.3525672029089115,-8.099132368390237,4.972071784345242e-9,3.589976712339351e-6,10.732567427453645
ENSG00000085982.16,USP40,-0.6756831146183803,5.913589734767134,-8.095713370772412,5.015977242600246e-9,3.589976712339351e-6,10.729153020517286
ENSG00000066027.12,PPP2R5A,-0.9050311863183418,5.388839508033488,-8.030448578125934,5.934219657970956e-9,4.077283642598684e-6,10.569189881510981
ENSG00000215717.7,TMEM167B,-1.1407619285330661,4.001852793666832,-7.978801765735497,6.7811587732245695e-9,4.479998624910709e-6,10.443476621645269
ENSG00000121864.10,ZNF639,-1.0655287984874486,4.620053172513115,-7.853217891122267,9.392866245364976e-9,5.975602351727193e-6,10.128485993106013
ENSG00000108960.9,MMD,-1.3659402014392403,5.311397405414384,-7.8281997470735325,1.0025082946062013e-8,6.150030348732399e-6,10.050693443419615
ENSG00000152137.8,HSPB8,1.5238342204916064,3.689405889929855,7.74399646986981,1.2489641135452587e-8,7.3977436477127265e-6,9.842253672422391
ENSG00000117450.15,PRDX1,1.2119510891647574,9.373253640594235,7.633831908269359,1.667305376123804e-8,9.546434815226195e-6,9.538804874473882
ENSG00000110047.18,EHD1,1.1914322782163083,6.212395126743071,7.619574160342835,1.7310117258926072e-8,9.57443987724331e-6,9.514702771371276
