gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000112893.10,MAN2A1,-4.167707477389081,5.5954662389992285,-24.537052122463543,2.297616506525506e-21,3.946615873258862e-17,37.84382004402518
ENSG00000136381.13,IREB2,-3.830384637684168,6.243369461996161,-24.460415350273028,7.667634822052253e-21,6.585348166919577e-17,37.3098122284382
ENSG00000117597.18,UTP25,-2.2481821743867156,5.165460793498688,-21.67747396525122,7.711935734329132e-20,3.3785382317990004e-16,35.068043707419896
ENSG00000115380.20,EFEMP1,1.9388270434166646,5.381896798491493,21.662100511317757,7.867586264886768e-20,3.3785382317990004e-16,35.2001030003992
ENSG00000184677.18,ZBTB40,-2.3813860604366597,4.6169302553677465,-19.71410901659082,1.101003599852611e-18,3.7823877669336605e-15,32.283744730690245
ENSG00000163453.11,IGFBP7,1.5850635257293668,6.593884417150569,18.23986077684264,9.4614043600474e-18,2.7086423782089034e-14,30.539796069757216
ENSG00000170558.10,CDH2,1.4030053003539036,6.569988447275494,17.63595249111885,2.3830941488590747e-17,5.847772599278903e-14,29.62784412615364
ENSG00000102309.15,PIN4,-3.6734615221572526,3.8733352738358544,-17.473436996565983,3.069411297510897e-17,6.590409732168084e-14,28.55536403161682
ENSG00000135074.16,ADAM19,1.534997004292255,6.55140095107647,17.302327269334306,4.015130408354717e-17,7.663099447145442e-14,29.110559375476804
ENSG00000170624.14,SGCD,1.604202956645575,5.445726648496953,17.19049672262935,4.791253474341777e-17,8.229936092876871e-14,28.92950763350482
ENSG00000240891.8,PLCXD2,1.2710257749833784,5.1205684202815265,17.063629625205298,5.861610836511168e-17,9.153171758068395e-14,28.728824540702675
ENSG00000148082.10,SHC3,1.8753782258490892,2.008933725501892,16.41356341841669,1.6797357096011242e-16,2.4044016903182093e-13,27.21809545635707
ENSG00000249550.9,LINC01234,-1.3346365046785387,4.95066262067397,-16.338212466834506,1.9018842430144097e-16,2.512974280173732e-13,27.530936703169502
ENSG00000022567.10,SLC45A4,-1.3789477641907844,5.417593050584551,-16.120010830342448,2.7323089129333296e-16,3.352347871246843e-13,27.20142142125253
ENSG00000130635.17,COL5A1,1.4925973751304633,9.398798233847458,15.985898399638415,3.4204827002450766e-16,3.916908756140646e-13,26.977336016855517
ENSG00000103489.12,XYLT1,1.4635462767274765,4.970529170233046,15.758635704736797,5.022326708674533e-16,5.391781617181403e-13,26.60175961636102
ENSG00000107159.14,CA9,3.430760411851901,1.1302272598052339,15.68289176449913,5.713832212121723e-16,5.773323288683225e-13,25.533444927468615
ENSG00000120162.10,MOB3B,1.443775590460098,5.523499615244215,15.632218981887107,6.230547337970567e-16,5.945672868017802e-13,26.3862478589394
ENSG00000019505.8,SYT13,1.5123510721457005,5.433833901563335,15.509877074385424,7.686004467090544e-16,6.948552564800751e-13,26.1777231584263
ENSG00000112210.12,RAB23,-3.9053288755200164,3.4548725344396587,-15.396674443262791,9.344786569137953e-16,8.025769944904131e-13,25.112750640373388
ENSG00000259207.10,ITGB3,1.9267119576382439,3.7728092068135384,15.232496613247104,1.2431608321716032e-15,1.0168463625815061e-12,25.699898126848023
ENSG00000135919.14,SERPINE2,1.4440387067185434,7.911609236756673,15.083990393643964,1.612699425303823e-15,1.2591517285656258e-12,25.426502254378434
ENSG00000116962.15,NID1,1.733215784182467,3.15539529345453,14.934748582280438,2.0990000174277735e-15,1.567587969537255e-12,25.14880938021531
ENSG00000187957.8,DNER,1.6888116838357101,3.839369483974746,14.489587609613235,4.6637014889354505e-15,3.3378500198101767e-12,24.391352335428763
ENSG00000089127.15,OAS1,-2.2913502940442707,3.769932905172063,-14.443316081325417,5.072641663650571e-15,3.4853106342610343e-12,24.238769570286777
ENSG00000185070.12,FLRT2,2.689083506415955,3.5336177927071537,14.765445975040807,5.529803121561699e-15,3.653285700733281e-12,24.222228896806918
ENSG00000141526.18,SLC16A3,1.5002033310335043,5.1834869048991585,13.8076255959954,1.6438514758502035e-14,1.0457939555807018e-11,23.130675762071967
ENSG00000122884.13,P4HA1,0.8761498099324821,6.264932641966878,13.74682661052785,1.8433635909055017e-14,1.1308377286065643e-11,22.992387442072648
ENSG00000178726.7,THBD,0.918777230120079,5.117090089903459,13.642116544778704,2.247348191364286e-14,1.28850604565966e-11,22.821718769187758
ENSG00000128567.17,PODXL,1.8067706227434932,6.317017538605405,13.879865659705281,2.2504035262146937e-14,1.28850604565966e-11,22.815003102595004
ENSG00000058085.15,LAMC2,1.6999815307744113,5.605625926759716,13.62636508270245,2.563433887622463e-14,1.316498052983361e-11,22.675451551490255
ENSG00000101189.7,MRGBP,-1.3893518225578827,3.943204579034917,-13.570269592711247,2.5763255336982395e-14,1.316498052983361e-11,22.695317355769916
ENSG00000178057.15,NDUFAF3,-2.200735207574316,3.792303389886219,-13.562954796358996,2.612486681953779e-14,1.316498052983361e-11,22.576191446730604
ENSG00000149380.12,P4HA3,1.2371398202952408,4.5715946636981535,13.559979039513799,2.6273464867693463e-14,1.316498052983361e-11,22.671034609339014
ENSG00000182197.13,EXT1,0.7668526804086038,6.536894289112875,13.530399678573806,2.7798666469927246e-14,1.316498052983361e-11,22.580041087700057
ENSG00000118777.12,ABCG2,-1.5089453565905822,4.790051981627478,-13.504526899947443,2.920732018251776e-14,1.316498052983361e-11,22.573473081829132
ENSG00000156113.25,KCNMA1,0.893302484308485,6.811721765744143,13.489479618967803,3.006013076645825e-14,1.316498052983361e-11,22.495007140752335
ENSG00000019549.13,SNAI2,2.1270195968604764,1.1935843658479801,13.485264038704468,3.0303611775712135e-14,1.316498052983361e-11,22.210820068711357
ENSG00000145431.11,PDGFC,1.4026156340134477,3.970133125035104,13.482730323618593,3.045092735105315e-14,1.316498052983361e-11,22.527851165656884
ENSG00000135636.16,DYSF,2.5662498642122387,2.859017726986101,13.479203197630934,3.0657228922008755e-14,1.316498052983361e-11,22.37374983355867
ENSG00000169184.7,MN1,1.6517615895812747,3.7197916057644784,13.418273156945496,3.445696503207265e-14,1.44357875208759e-11,22.411264993034028
ENSG00000140545.16,MFGE8,1.179622248522132,6.779422702120891,13.399184482551147,3.5744478721845565e-14,1.4618640738217648e-11,22.32907180060858
ENSG00000099994.11,SUSD2,-1.8028392398405015,5.052172481496366,-13.350981752633874,3.922054532755764e-14,1.566723969980134e-11,22.280210866014613
ENSG00000213626.13,LBH,1.447178550935551,7.3759749459622785,13.285695604205417,4.449084002200847e-14,1.736861725131908e-11,22.102394400025027
ENSG00000179242.16,CDH4,1.4659487976262269,5.6061006565078655,13.144331152894338,5.85468093227529e-14,2.2347967638598366e-11,21.85089501304892
ENSG00000186907.8,RTN4RL2,-2.0395151326596226,3.9604222650157483,-12.957603080283183,8.441331571769017e-14,3.1521033132234004e-11,21.51169666064292
ENSG00000134369.17,NAV1,1.3934493004016884,6.2523506853873085,12.881114491829551,9.816871749999532e-14,3.587753320207276e-11,21.313366891819193
ENSG00000101955.15,SRPX,1.4714395970776666,2.911052749893545,12.853301686137991,1.0372441966936425e-13,3.711821576376395e-11,21.26764089837821
ENSG00000150551.11,LYPD1,1.570662426332376,3.9313216944204874,12.828026233466982,1.0905345662091374e-13,3.822880049749868e-11,21.27205594994883
ENSG00000103647.13,CORO2B,1.9155757984790434,3.084828059124112,12.796721512249693,1.1604595725147425e-13,3.9252488697916906e-11,21.175896764297647
ENSG00000076513.17,ANKRD13A,1.0260721687851229,4.81594363509537,12.794566142358793,1.1654403700260594e-13,3.9252488697916906e-11,21.18359337628312
ENSG00000168785.8,TSPAN5,0.8558074114876306,5.150736215845452,12.665714271818866,1.5069118367532639e-13,4.977735503829003e-11,20.91795781494605
ENSG00000137801.11,THBS1,1.7091417678181167,8.128799265353534,12.858400362852093,1.8777659583785406e-13,6.085733182465696e-11,20.686717842118878
ENSG00000197702.14,PARVA,0.638885140186047,7.327891000239155,12.51205540091451,2.0521537731172514e-13,6.484493042580035e-11,20.562626430201615
ENSG00000235823.6,OLMALINC,-4.838460999333028,1.6112345109050792,-12.506259236031388,2.076306207963567e-13,6.484493042580035e-11,17.68938124772637
ENSG00000173210.21,ABLIM3,1.54757808266327,3.568603191961775,12.479134205519086,2.1932774324954184e-13,6.727486867495322e-11,20.582418911641916
ENSG00000116701.16,NCF2,1.890133459532721,2.7761523997844897,12.457390810333001,2.2919183339837743e-13,6.906716004006893e-11,20.47863550570984
ENSG00000128655.19,PDE11A,2.6395436142938897,3.345711911279127,12.959528504633425,2.3479258416607786e-13,6.953503824518482e-11,20.555974157331615
ENSG00000145934.17,TENM2,2.1036495640075077,1.3004264843573807,12.435420151343257,2.396225805633545e-13,6.976266214130068e-11,20.302136304904792
ENSG00000118523.6,CCN2,1.7581305781486898,5.54932135016462,12.536588808399534,2.518508818688031e-13,7.210070996434051e-11,20.421237983826902
ENSG00000143473.14,KCNH1,1.0496383305868509,5.338322237140682,12.3451408755674,2.8787084580061673e-13,8.106159866093761e-11,20.263410179480537
ENSG00000079308.21,TNS1,1.5842427419920908,3.8864531889703815,12.333707162600117,2.946566097551511e-13,8.163413848006823e-11,20.286392804410248
ENSG00000119655.11,NPC2,1.3076796554543384,7.384053864190052,12.285315658751937,3.2524627774905376e-13,8.867865576024599e-11,20.09980327287926
ENSG00000169894.18,MUC3A,-2.3752173128053324,2.81722477138007,-12.240956009221486,3.561523003518004e-13,9.558793848660743e-11,19.680429112460715
ENSG00000104881.16,PPP1R13L,1.1201130353364592,4.297246631016319,12.225687230328152,3.674751106530549e-13,9.710953808750037e-11,20.06149208952624
ENSG00000099260.12,PALMD,1.3932250733714011,3.448984145133396,12.0654827938424,5.111382999587709e-13,1.330276148241183e-10,19.74558965964924
ENSG00000101000.6,PROCR,-0.9825916619936852,5.410574061920046,-12.01706029020678,5.650757367876225e-13,1.4487023777314914e-10,19.598456188825075
ENSG00000150687.12,PRSS23,0.68295446870517,9.027620316744096,12.001558447569687,5.835516794951046e-13,1.474068705689325e-10,19.509473653488264
ENSG00000109099.16,PMP22,-0.8943005286777634,5.257895162451978,-11.59932774193561,1.3579767629355958e-12,3.3495419584190457e-10,18.721443078256335
ENSG00000189431.8,RASSF10,0.9110646995986484,3.8552287100289337,11.596894920697787,1.3650109861403809e-12,3.3495419584190457e-10,18.758725092065994
ENSG00000251493.5,FOXD1,1.452485667511598,3.3692226204133426,11.578182215929397,1.4203822427469524e-12,3.436324758262592e-10,18.73653944345526
ENSG00000143507.18,DUSP10,1.3101057224833916,3.201212036329236,11.556699222220326,1.4868023345581724e-12,3.5151874554692043e-10,18.69410570166798
ENSG00000107984.10,DKK1,-1.5084561646562356,6.33166617564876,-11.60243077348952,1.5077904506905567e-12,3.5151874554692043e-10,18.600605953399004
ENSG00000122694.16,GLIPR2,1.5279016903689695,3.887246066494362,11.548069517465386,1.5143731251366429e-12,3.5151874554692043e-10,18.669806026898314
ENSG00000146477.6,SLC22A3,0.945025776081059,6.871914002120849,11.463755239740836,1.8130073047905858e-12,4.1522701965850524e-10,18.372185228689403
ENSG00000165617.16,DACT1,2.326685310995102,1.541055173755721,11.424934121199984,1.9702193657292086e-12,4.4529550059382393e-10,18.06736924929439
ENSG00000163430.13,FSTL1,0.869275610402034,7.747297242160213,11.410050135277615,2.034145127878181e-12,4.5377286833199375e-10,18.249835771230543
ENSG00000137809.17,ITGA11,2.0064561746272767,3.5644333239104373,11.388589438347838,2.235964364266564e-12,4.923994857052151e-10,18.293940191801404
ENSG00000074590.14,NUAK1,1.0594415959480563,5.9243990853795365,11.297413172297292,2.5923989888346167e-12,5.63666296597623e-10,18.03341369494523
ENSG00000134871.20,COL4A2,1.0247356946111963,9.480458255382004,11.27649210680201,2.7122974620608857e-12,5.760643771633951e-10,17.962599300376347
ENSG00000087510.7,TFAP2C,-1.1040580471096886,4.289637398264289,-11.275777176838501,2.716493831881877e-12,5.760643771633951e-10,18.09107923344719
ENSG00000177494.6,ZBED2,2.4560999106202384,1.1442380827742802,11.229167277945347,3.004964177001621e-12,6.294667032726444e-10,17.714501486312237
ENSG00000134013.16,LOXL2,0.9158707304295018,9.059501528457261,11.210342561362907,3.1302143540226673e-12,6.478035175788839e-10,17.816654050449273
ENSG00000163531.17,NFASC,2.264543166320935,1.446047887873264,11.164357126651295,3.4592024247378797e-12,7.073657148776495e-10,17.616579721089067
ENSG00000139926.16,FRMD6,1.2094819214590005,5.66439948897969,11.119707206512839,3.8126319398880466e-12,7.704656333112586e-10,17.64490828401648
ENSG00000166833.23,NAV2,1.1286945079636914,5.19570346225156,11.10251774111442,3.9583873746403894e-12,7.906188364441624e-10,17.64258063428229
ENSG00000120708.17,TGFBI,1.132731745095972,11.559609446814617,11.091970999052078,4.050634441924238e-12,7.997442276888809e-10,17.57242539371466
ENSG00000108821.14,COL1A1,-2.2158564775274647,4.437414002551746,-11.231301653941959,4.183947118524072e-12,8.16677950623727e-10,17.690294533532935
ENSG00000085063.18,CD59,0.7236933647477712,9.074926291818825,11.070390890024445,4.246319672098296e-12,8.195396967149712e-10,17.50866982561783
ENSG00000149591.17,TAGLN,1.9712475952268764,4.8433227114708854,11.39386136839205,4.59319077809216e-12,8.766359777254337e-10,17.572892137373167
ENSG00000123643.14,SLC36A1,0.9089378456228973,4.849734856665829,11.011197816435233,4.834398628913363e-12,9.12532585152141e-10,17.453983343652858
ENSG00000156804.7,FBXO32,2.04685153351165,3.4589287303767198,11.159524997946425,5.544004469619076e-12,1.0351017910287703e-9,17.406728207508685
ENSG00000156466.11,GDF6,2.5296430068557534,0.5387890284338025,10.931111083714383,5.765730436845478e-12,1.0649242119752126e-9,16.85603727334886
