gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000117450.15,PRDX1,-3.370226901732893,9.373253640594235,-31.151727347318563,2.375992843151298e-24,4.0812429066809846e-20,44.975651937870154
ENSG00000204389.10,HSPA1A,-2.3886234977587835,7.672713909761162,-24.23312038710069,3.2780845571028896e-21,2.8153829218678164e-17,38.21648877934838
ENSG00000087074.9,PPP1R15A,2.068874080210082,4.88589000751445,21.847390414052754,6.188833382532383e-20,3.543519700391958e-16,35.276027511258135
ENSG00000086061.16,DNAJA1,-1.4619895310946938,8.762420610851345,-20.103507580318862,6.383530356149094e-19,2.7412475231893246e-15,33.169369953763955
ENSG00000169991.11,IFFO2,-1.4461969943393083,6.121711926921327,-19.073804795469805,2.75389295064761e-18,9.4607238426548e-15,31.697289214016685
ENSG00000157514.18,TSC22D3,2.5394420651019307,3.727446087604286,18.65654193256786,5.076930559548902e-18,1.453440603689525e-14,30.82481126160868
ENSG00000175197.13,DDIT3,2.8332020060926624,2.3729932306820913,17.76273831556267,1.958730972313101e-17,4.806445987346019e-14,29.171015427012094
ENSG00000130522.6,JUND,1.3256100476983395,5.677369367942624,17.518670995881592,2.8600736824548526e-17,6.140935705440876e-14,29.413525833595692
ENSG00000204388.7,HSPA1B,-2.069835559466851,6.873045042519089,-16.123127309546575,3.414074456065748e-16,6.515950770204595e-13,26.988701454814397
ENSG00000101255.13,TRIB3,2.9752342248384234,6.3383034256740665,17.284444006569,4.335280998313299e-16,7.446712170802754e-13,26.813294009180783
ENSG00000109971.14,HSPA8,-1.4499085396082299,11.038926692892696,-15.613550785393674,6.432830169526e-16,9.61806175191601e-13,26.356360681750395
ENSG00000166825.15,ANPEP,-2.3813951747584143,5.230876017162342,-15.664549534382441,6.719260698782798e-16,9.61806175191601e-13,26.262982710247044
ENSG00000135046.15,ANXA1,-1.1097080092598137,9.529602792668667,-15.501056237604056,7.803620824688592e-16,1.0310984223513534e-12,26.164139126505866
ENSG00000128965.13,CHAC1,2.9394211277942155,1.9315064268068796,15.262687142579493,1.1793826452866253e-15,1.4470182641491686e-12,25.2373998515441
ENSG00000141582.15,CBX4,1.1438424544060366,5.472574687222819,15.018514771299268,1.8099254217338487e-15,2.0726059312748213e-12,25.329906792124277
ENSG00000171560.18,FGA,2.562119074431304,2.488743440256314,15.034345190602032,2.3285988407233667e-15,2.390152819005449e-12,25.011281453440763
ENSG00000113739.11,STC2,1.6527329868944638,5.298645808763061,14.867434684745788,2.3655235444543654e-15,2.390152819005449e-12,25.065009661230285
ENSG00000130766.5,SESN2,1.6636557031834922,4.39204740100923,14.591233027470423,3.880190279615821e-15,3.7027793573867206e-12,24.55601034367468
ENSG00000003989.18,SLC7A2,1.5199581736313212,4.612232033482316,14.48712302349998,4.68460324852036e-15,4.1227269680288675e-12,24.3846460558047
ENSG00000165124.19,SVEP1,1.5283204743644307,4.914940243298112,14.47368374681882,4.800287556650017e-15,4.1227269680288675e-12,24.363294878733797
ENSG00000100219.17,XBP1,1.3726628550087638,6.320137242788943,13.96579350952432,1.2223544357283332e-14,9.998277210716942e-12,23.427775514463853
ENSG00000156639.12,ZFAND3,0.8963408984182285,6.462080882077145,13.871758073356585,1.4573422312955006e-14,1.1378530684983097e-11,23.25239646483304
ENSG00000156113.25,KCNMA1,-0.9551732874377961,6.811721765744143,-13.82968475898656,1.5770765003797964e-14,1.1778018716097289e-11,23.176904099138053
ENSG00000076685.19,NT5C2,0.7173364003145485,7.221530202575119,13.61168417717676,2.3810749923296624e-14,1.7041552143019422e-11,22.755985400817067
ENSG00000165030.5,NFIL3,1.0872222239684415,4.3094209702868875,13.462803786512104,3.163547319167005e-14,2.139750488301362e-11,22.495746601158185
ENSG00000138166.6,DUSP5,1.1751866578703976,5.878546821386306,13.450533260096641,3.23883755579178e-14,2.139750488301362e-11,22.4555543534194
ENSG00000215717.7,TMEM167B,1.3578538745276985,4.001852793666832,13.38424294967805,3.678672053111361e-14,2.3403166613442167e-11,22.342717975665956
ENSG00000128165.9,ADM2,3.4226534437363725,0.26451215190206284,13.312934008253885,4.2208661336485683e-14,2.5614153224762546e-11,20.62625903470742
ENSG00000027075.18,PRKCH,1.3542326403335867,3.1168355775892445,13.300388203340937,4.3244480614665765e-14,2.5614153224762546e-11,22.124981358515342
ENSG00000004139.14,SARM1,1.6824365709544027,4.442622067072926,13.100668659424056,6.375521024976002e-14,3.538296479348925e-11,21.802275711724775
ENSG00000172216.7,CEBPB,1.0959983053338438,6.1419938198350374,13.09985223618264,6.385701278443074e-14,3.538296479348925e-11,21.775378281421858
ENSG00000153879.9,CEBPG,1.2234650378287404,6.862561226428829,13.026881915920017,7.366562122173895e-14,3.954232424143156e-11,21.62712130546658
