gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000140545.16,MFGE8,1.8589531078696944,6.779422702120891,21.197185887120693,1.4483793394345362e-19,1.9777134196941134e-15,34.65483939889073
ENSG00000100439.11,ABHD4,1.6318005468330044,5.901110969835056,20.849859661974428,2.302746020485665e-19,1.9777134196941134e-15,34.19082513589446
ENSG00000078804.13,TP53INP2,2.106463389518092,3.73264877498831,18.843876764594462,3.8522504297211625e-18,2.2056701877106805e-14,31.194588769019628
ENSG00000171992.13,SYNPO,1.4901402234235506,7.4897551342362485,18.330686911427623,8.252479226515164e-18,3.543820891846274e-14,30.68062275350563
ENSG00000163453.11,IGFBP7,1.5659064945963097,6.593884417150569,18.08278983239144,1.2001028189151491e-17,4.0525604805787596e-14,30.306097268573037
ENSG00000153071.15,DAB2,1.5466713475949547,5.006608532098014,17.97437424037776,1.4155768110538835e-17,4.0525604805787596e-14,30.128984738763144
ENSG00000117450.15,PRDX1,-1.892026583451523,9.373253640594235,-17.704893647431195,2.141746784871762e-17,5.2555406462488934e-14,29.734806217371645
ENSG00000166825.15,ANPEP,-2.3847018141046834,5.230876017162342,-17.304026390458233,4.6355485375474756e-17,8.934193473068185e-14,28.9539328051985
ENSG00000139112.11,GABARAPL1,1.7652806411447965,4.694359042571996,17.205177153407373,4.681128326111292e-17,8.934193473068185e-14,28.94136810569904
ENSG00000100664.11,EIF5,-1.475127171675737,8.683717915849543,-17.070406563327463,5.798635719898416e-17,9.960316576069509e-14,28.744826778927436
ENSG00000164733.23,CTSB,1.53828432466484,9.61732079067337,16.537106997925743,1.3716023405143852e-16,2.141819400274145e-13,27.888613721264957
ENSG00000135821.20,GLUL,2.2730274904875447,3.8942263798103474,16.362850433010387,1.8260973899897335e-16,2.6139062389878044e-13,27.528825250895093
ENSG00000126005.17,MMP24OS,1.6726197845141046,4.875273825148736,16.266038911483186,2.14309169507943e-16,2.8316835420291827e-13,27.445237315411433
ENSG00000213626.13,LBH,1.7581700464352832,7.3759749459622785,16.126842824121077,2.701328450519463e-16,3.314337056755201e-13,27.212595913607146
ENSG00000204592.9,HLA-E,1.0887590394023174,5.773083616604442,15.942333399844685,3.6805994093008995e-16,4.2147770702374373e-13,26.908949237486834
ENSG00000166250.13,CLMP,-1.3544287146497864,5.85784524187849,-15.813871313330175,4.572833575606231e-16,4.909222645511764e-13,26.69291300907987
