gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000164209.17,SLC25A46,-4.538204427220293,5.067495378763401,-21.765987664935,6.875499174543395e-20,1.1810044932113189e-15,33.88721462302253
ENSG00000136144.12,RCBTB1,-3.0628815439624066,3.299063232043047,-17.23647614812237,4.454959540558394e-17,3.1924912325092576e-13,27.571630673834118
ENSG00000174442.12,ZWILCH,-2.6155112247701053,6.203839280240349,-17.243544980825224,5.575754612288393e-17,3.1924912325092576e-13,28.742901615296248
ENSG00000171560.18,FGA,3.010237746534722,2.488743440256314,16.965422566462212,9.46127321673073e-17,4.062907251094594e-13,28.13541326308465
ENSG00000130522.6,JUND,1.3342620298917962,5.677369367942624,16.3468270819603,1.8750239023734384e-16,6.441457114213711e-13,27.5709463767219
ENSG00000157514.18,TSC22D3,2.2253578821542765,3.727446087604286,15.325620692511885,1.0570343344479746e-15,3.0261131271354767e-12,25.77221119400915
ENSG00000099994.11,SUSD2,-2.5358866624386263,5.052172481496366,-15.092202572474452,1.589573868964352e-15,3.900587192457239e-12,25.374381138834714
ENSG00000169991.11,IFFO2,-1.194350594943061,6.121711926921327,-14.725810003108487,3.046115977764232e-15,6.540391768757026e-12,24.813950834221203
ENSG00000204389.10,HSPA1A,-1.5318968772378845,7.672713909761162,-14.615761258908817,3.712283140833257e-15,7.08509861223254e-12,24.611836670860257
ENSG00000128965.13,CHAC1,2.912254446377934,1.9315064268068796,14.519200268839587,4.419934643662698e-15,7.592121737419416e-12,24.108543492931055
ENSG00000135821.20,GLUL,2.1310606977184015,3.8942263798103474,14.009546950115787,1.1266680938559092e-14,1.684889969872771e-11,23.476752750659095
ENSG00000171557.17,FGG,3.178454010906898,1.3276324102253831,14.007457240479559,1.258876197376062e-14,1.684889969872771e-11,23.18984631933504
ENSG00000127561.16,SYNGR3,2.271138661923308,2.7531797141132524,13.940009941372695,1.2826182871852132e-14,1.684889969872771e-11,23.075095442724304
ENSG00000185201.18,IFITM2,1.8274386646725094,4.488014861526014,13.903487013862044,1.373258402411294e-14,1.684889969872771e-11,23.31302320419253
ENSG00000171564.12,FGB,2.7439686239905074,1.9120574765829559,13.854935060308465,1.7465674155061424e-14,1.923201357495483e-11,23.01103796956416
ENSG00000004139.14,SARM1,1.8690875281769352,4.442622067072926,13.761979085589662,1.7914200221183983e-14,1.923201357495483e-11,23.05691835710114
