gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000113739.11,STC2,-3.1311576662724194,5.298645808763061,-26.588597802714677,2.30612564485524e-22,3.961232020167846e-18,40.46873152788562
ENSG00000006652.15,IFRD1,-3.6137553897784764,4.361219595226744,-23.856227648474764,5.4280069848491516e-21,3.5809460708325616e-17,37.22370418267282
ENSG00000204389.10,HSPA1A,2.275607626757849,7.672713909761162,23.47084953099474,8.138858734058553e-21,3.5809460708325616e-17,37.33530653453318
ENSG00000065911.13,MTHFD2,-2.196278335776151,7.917320551942376,-23.450793133563195,8.338932458130202e-21,3.5809460708325616e-17,37.33407599961367
ENSG00000153879.9,CEBPG,-1.9906293581884382,6.862561226428829,-21.06112377568855,1.735471186410114e-19,5.962037713793306e-16,34.40523645094223
ENSG00000255717.10,SNHG1,-2.0805546034070668,4.4467930844203245,-19.99661244241788,7.407101096284911e-19,2.120529592181432e-15,32.830642990840445
ENSG00000175197.13,DDIT3,-3.556047297559563,2.3729932306820913,-19.559950509791122,1.3696914208708514e-18,3.3610270766140874e-15,30.972168907935615
ENSG00000184575.12,XPOT,-1.7962598119847586,8.010349407928357,-19.152789693783017,2.4559447576862596e-18,5.27322038784711e-15,31.840067153007844
ENSG00000087074.9,PPP1R15A,-1.8325401623231152,4.88589000751445,-19.01281856245157,3.0092897885399176e-18,5.743396744194463e-15,31.520472628747967
ENSG00000157514.18,TSC22D3,-2.642875226497514,3.727446087604286,-18.2972183407708,8.678272662560238e-18,1.4906668952479723e-14,30.171226794477647
ENSG00000013588.10,GPRC5A,1.2899400460025703,8.713604355582124,18.03841173810697,1.2838968667381001e-17,2.0048633163600314e-14,30.219216837361387
ENSG00000164284.15,GRPEL2,-1.6998421414952634,4.868141431765789,-17.218056146868857,4.586664594955553e-17,6.565428145629295e-14,28.90774513299943
ENSG00000163472.19,TMEM79,-2.1944065413762663,2.413955681649457,-17.072435353615173,5.77991893736769e-17,7.637051352858833e-14,27.93565672044313
ENSG00000112715.26,VEGFA,-1.0454701416867527,5.521370376411992,-16.9585599243862,6.933375689275429e-17,8.006493124346553e-14,28.53999666938816
ENSG00000240230.6,COX19,-2.3626323913544964,3.0803266899097794,-16.953327333807124,6.991756235966599e-17,8.006493124346553e-14,28.103485160206326
ENSG00000251022.6,THAP9-AS1,-1.9923769983799504,3.3030742632077725,-16.897139424189508,7.651515528631164e-17,8.214380139706094e-14,28.14779716823702
ENSG00000139514.13,SLC7A1,-1.3273879533428348,7.449757209253097,-16.736062916174767,9.922127074104555e-17,1.0025433926581996e-13,28.20596300525293
ENSG00000128335.14,APOL2,1.5211079477787175,4.897559678048125,16.369875526750008,1.805063042842148e-16,1.6802469955453086e-13,27.56524178944057
ENSG00000109971.14,HSPA8,1.5297401790590306,11.038926692892696,16.35216647449165,1.8585720973022568e-16,1.6802469955453086e-13,27.5831048813274
