gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000087074.9,PPP1R15A,-1.3480003179492173,4.88589000751445,-14.310976326323313,6.458440633096867e-15,1.1093663475470488e-10,23.542936097672552
ENSG00000204389.10,HSPA1A,1.4119885702118087,7.672713909761162,12.900215432335923,9.45311693132488e-14,8.118809476468373e-10,21.083458151177265
ENSG00000143878.10,RHOB,-0.8702115541513663,6.03868186181241,-10.545640558813957,1.3613766180249875e-11,7.79478872260507e-8,16.43169225489804
ENSG00000255717.10,SNHG1,-1.107727974974229,4.4467930844203245,-10.284476876552391,2.462682079435803e-11,1.0575372519617197e-7,15.781010706246075
ENSG00000157514.18,TSC22D3,-1.184815884104275,3.727446087604286,-10.177543494534147,3.1470631735595555e-11,1.0811420826446497e-7,15.574431677242933
ENSG00000006327.14,TNFRSF12A,-1.099514039744568,6.420555264804625,-9.250892397458678,2.804006420237325e-10,6.203579564569252e-7,13.523940765285397
ENSG00000204388.7,HSPA1B,1.3444951651431236,6.873045042519089,9.281620442925789,2.887800340972643e-10,6.203579564569252e-7,13.47884325248853
ENSG00000162772.18,ATF3,-1.5407291099798275,2.3113005503804573,-9.186098835308162,3.2811359376427546e-10,6.203579564569252e-7,13.045700835251292
ENSG00000189431.8,RASSF10,0.9571584022818426,3.8552287100289337,9.174138837997896,3.3779062817462155e-10,6.203579564569252e-7,12.946612980044529
ENSG00000198517.10,MAFK,-1.0323949127149095,5.693970086096624,-9.125290026177277,3.804440581836704e-10,6.203579564569252e-7,13.233110727213864
ENSG00000113739.11,STC2,-1.0528105936959609,5.298645808763061,-9.10754217150121,3.972717890799428e-10,6.203579564569252e-7,13.193992754139853
ENSG00000086061.16,DNAJA1,0.7071254564071069,8.762420610851345,8.941337755022676,5.970222808306066e-10,8.545876431522775e-7,12.803919829552832
ENSG00000101255.13,TRIB3,-1.6774189588257231,6.3383034256740665,-9.232858812709464,7.940279851058575e-10,1.0491552846279473e-6,12.573087185484031
ENSG00000077150.21,NFKB2,-1.005235425722613,5.85336157256077,-8.767613451501095,9.17453685456903e-10,1.1256501396495158e-6,12.374449556931378
ENSG00000126803.10,HSPA2,1.0307250392421323,7.224639514831071,8.664515069686239,1.186133106258629e-9,1.3582805577469648e-6,12.132934755628686
