gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000087074.9,PPP1R15A,2.77193425942498,4.88589000751445,29.73860888206764,9.128664504238312e-24,1.085041876157462e-19,43.78047874640345
ENSG00000204389.10,HSPA1A,-2.943885447449689,7.672713909761162,-29.406590637123763,1.2633659849303858e-23,1.085041876157462e-19,43.63915413096524
ENSG00000157514.18,TSC22D3,3.4101737662585516,3.727446087604286,25.73853474941358,5.8574073814539e-22,3.3537562197077882e-18,39.52060873451365
ENSG00000164209.17,SLC25A46,-5.147614177631622,5.067495378763401,-24.755358646149727,1.7843704860161765e-21,7.662532959574966e-18,37.10531643836296
ENSG00000086061.16,DNAJA1,-1.7500249682867823,8.762420610851345,-24.06052562263134,4.018372990538876e-21,1.3804718571697255e-17,38.185499740864635
ENSG00000113739.11,STC2,2.341911473296851,5.298645808763061,21.26747214760385,1.3197343328596917e-19,3.778179439255154e-16,34.74839963728999
ENSG00000175197.13,DDIT3,3.2833474456357217,2.3729932306820913,21.036623044424143,1.7931084558848202e-19,4.400031992390508e-16,33.79382034677809
ENSG00000136144.12,RCBTB1,-3.25628738110433,3.299063232043047,-20.110488409864697,6.321983879584551e-19,1.3574089637452979e-15,31.70127900739999
ENSG00000169991.11,IFFO2,-1.4960184539547912,6.121711926921327,-19.96262797940775,7.76684657858811e-19,1.4790504256691218e-15,33.00499376720125
ENSG00000130522.6,JUND,1.488936416921957,5.677369367942624,19.85579498416369,9.019645610988507e-19,1.4790504256691218e-15,32.856241102937354
ENSG00000204388.7,HSPA1B,-2.629399121098532,6.873045042519089,-20.02606325252372,9.471709077464249e-19,1.4790504256691218e-15,32.81215474148124
ENSG00000077092.20,RARB,-1.6349125247170047,4.902782223478575,-19.35838090608936,1.8264038108835492e-18,2.614344854962227e-15,32.08322793399997
ENSG00000143878.10,RHOB,1.4683704894874654,6.03868186181241,19.241083422502733,2.1619035721135423e-18,2.8565398198611014e-15,32.007215182956145
ENSG00000163638.13,ADAMTS9,-2.234938252152922,5.4425195694968815,-19.038629850863114,2.8983417021619585e-18,3.556058244145425e-15,31.672101532416292
ENSG00000099994.11,SUSD2,-2.881391918425284,5.052172481496366,-18.39540472508044,7.489118114353419e-18,8.576038790016579e-15,30.621338064707388
ENSG00000101255.13,TRIB3,3.4897423339407156,6.3383034256740665,20.252257897024972,8.209216129601857e-18,8.813106591135695e-15,30.7499288032894
ENSG00000076685.19,NT5C2,0.9557855596136745,7.221530202575119,18.155732960891726,1.0744107630898075e-17,1.0751662551180136e-14,30.42077975740338
ENSG00000165030.5,NFIL3,1.4268198399626306,4.3094209702868875,18.123400516632024,1.1283606265321153e-17,1.0751662551180136e-14,30.339724178679308
ENSG00000138166.6,DUSP5,1.5712156446426173,5.878546821386306,18.074384924704557,1.2155288146501295e-17,1.0751662551180136e-14,30.29775818314523
ENSG00000184545.11,DUSP8,3.29356798480485,1.2245383350714627,18.055012475266484,1.2518673285416704e-17,1.0751662551180136e-14,28.573119024716185
ENSG00000135074.16,ADAM19,-1.738187179846376,6.55140095107647,-17.81020607425633,1.820619534466454e-17,1.4891800830252514e-14,29.889442490822294
